Lake_ID,Lake_name,real_name,DNAsampleID,NVE_number,Longitude,Latitude,Altitude,sample_date,lake_temp,pH,conductivity,alkalinity,Ar (ppm),O2 (ppm),N2 (ppm),CO2 (ppm),CH4 (ppm),N2O (ppm),Ar (ppm/h),O2 (ppm/h),N2 (ppm/h),CO2 (ppm/h),CH4 (ppm/h),N2O (ppm/h),TOC,DOC,TN,DN,TOTP,DP,DNA_conc,filtered_vol
SV015,Broggerdalen2,Broggerdalen2,SV015,,78.9127,11.8299,42,08/09/2019,9.2,7.77,229,,,,,,,,,,,,,,10.51,5,0.04,0.061,<2,<2,8.84,
SV016,Broggerdalen3,Broggerdalen3,SV016,,78.9131,11.84,43,08/09/2019,9.9,7.89,87.7,,,,,,,,,,,,,,7.106,14.09,0.14,0.14,<2,<2,6.48,
SV017,Lovenbreendalen6,Lovenbreendalen6,SV017,,78.8986,12.0628,44,08/11/2019,6.9,7.58,216,,,,,,,,,,,,,,1.314,1.049,0.003,0.007,<2,<2,7.72,
SV018,Lovenbreendalen7,Lovenbreendalen7,SV018,,78.9,12.0566,38,08/11/2019,5.7,7.51,263,,,,,,,,,,,,,,5.229,1.235,0.025,0.021,<2,<2,21.4,
SV020,Gluudneset,Gluudneset,SV020,,78.9133,12.0628,1,08/11/2019,9.8,7.83,1410,,,,,,,,,,,,,,5.326,5.491,0.306,0.377,2,<2,7.58,
SV021,Lovenbreendalen1,Lovenbreendalen1,SV021,,78.901,12.0552,35,08/11/2019,9.3,7.71,235,,,,,,,,,,,,,,1.216,3.096,0.061,0.06,<2,<2,10.2,
SV022,Lovenbreendalen2,Lovenbreendalen2,SV022,,78.9043,12.0637,24,08/11/2019,8.3,7.7,150.4,,,,,,,,,,,,,,1.415,3.48,0.087,0.084,<2,<2,17.8,
SV025,Sarsvatnet,Sarsvatnet,SV025,,78.9503,12.4984,105,08/10/2019,9.7,7.72,175.3,,,,,,,,,,,,,,13.23,1.494,0.079,0.094,<2,<2,4.82,
SV026,OssianSars1,OssianSars1,SV026,,78.9543,12.4962,120,08/10/2019,10.4,8.65,198.2,,,,,,,,,,,,,,8.171,5.858,0.387,0.451,<2,<2,9.46,
SV027,OssianSars2,OssianSars2,SV027,,78.9583,12.504,130,08/10/2019,10.3,8.08,197.8,,,,,,,,,,,,,,1.695,4.747,0.055,0.072,2,<2,9.4,
SV028,OssianSars3,OssianSars3,SV028,,78.9545,12.5331,151,08/10/2019,10.6,8.05,164.1,,,,,,,,,,,,,,3.161,2.978,0.056,0.07,<2,<2,21.4,
SV029,OssianSars4,OssianSars4,SV029,,78.9522,12.5365,150,08/10/2019,10.8,7.9,202,,,,,,,,,,,,,,7.694,7.098,0.077,0.093,<2,<2,13.6,
SV030,OssianSars5,OssianSars5,SV030,,78.9512,12.5353,133,08/10/2019,10.2,7.89,217,,,,,,,,,,,,,,1.854,1.726,0.063,0.053,<2,<2,7.84,
FI001,,,FI001,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,
FI003,,,FI003,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22,
FI007,,,FI007,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,
FI011,,,FI011,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,
FI016,,,FI016,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
