"Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"272" "Eukaryota" "Ochrophyta_ph" "Dictyochophyceae" "Pedinellales" "Pedinellales_fa" "Pedinella"
"273" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"274" "Eukaryota" "Chlorophyta_ph" "Mamiellophyceae" "Mamiellophyceae_or" "Mamiellophyceae_fa" "Dolichomastix"
"275" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" "Suessiaceae" "Polarella"
"276" "Eukaryota" "Ciliophora" "Intramacronucleata" "Litostomatea" "Haptoria" "Hemiophrys"
"277" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"278" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Oligohymenophorea" "Zoothamnium"
"279" "Eukaryota" "Dinoflagellata" "Dinophyceae" NA NA NA
"280" "Eukaryota" NA NA NA NA NA
"281" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" "Cryptocaryon"
"282" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" "Gymnodinium_clade" NA
"283" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"284" "Eukaryota" NA NA NA NA NA
"285" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Hypotrichia" NA
"286" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"287" "Eukaryota" "Diatomea" NA NA NA NA
"288" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"289" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Mallomonas"
"290" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
